時間軸,コード,銘柄名,シグナル種別,シグナル名,継続,詳細
週足,4582,シンバイオ製薬,売り,ピンバー（反転・売り）,1,極めて長い上ヒゲ — 強力な売り圧力・天井シグナル
週足,4596,窪田製薬ホールディングス,売り,騰落率オーバーシュート (上方),6,5日MA乖離率 +34.4% — 過熱感（反落注意）
週足,4597,ソレイジア・ファーマ,売り,パーフェクトオーダー (弱気),1,短期<中期<長期、3本すべて下落中
週足,5016,ＪＸ金属,売り,騰落率オーバーシュート (上方),3,5日MA乖離率 +29.7% — 過熱感（反落注意）
週足,5401,日本製鉄,売り,終値がSMA短期を下抜け,1,終値がSMA13を上から下へ突破
週足,5401,日本製鉄,売り,MACD デッドクロス,1,MACD線がシグナル線を下抜け — 下落モメンタム
週足,5401,日本製鉄,売り,パラボリックSAR 反転 (売り),1,SARが株価の上側に移動 — トレンド転換（売り）
週足,5803,フジクラ,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +20.3% — 過熱感（反落注意）
週足,6140,旭ダイヤモンド工業,売り,騰落率オーバーシュート (上方),3,5日MA乖離率 +28.5% — 過熱感（反落注意）
週足,6701,日本電気,売り,デッドクロス (短期/中期),1,SMA13がSMA26を下抜け
週足,6702,富士通,売り,終値がSMA長期を下抜け,1,終値がSMA52を上から下へ突破
週足,6702,富士通,売り,窓開け下落（ギャップダウン）,1,前日安値を下回る位置から寄付き（ギャップ -0.7%）
週足,6740,ジャパンディスプレイ,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +12.1% — 過熱感（反落注意）
週足,6981,村田製作所,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +17.6% — 過熱感（反落注意）
週足,7013,ＩＨＩ,売り,ボリンジャー上限反落,1,終値がBB+2σ以上から反落 — 買われすぎ反転
週足,7013,ＩＨＩ,売り,包み足（陰線）,1,前日陽線を当日陰線が完全に飲み込み — 弱気反転
週足,7063,Ｂｉｒｄｍａｎ,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +20.7% — 過熱感（反落注意）
週足,7211,三菱自動車工業,売り,窓開け下落（ギャップダウン）,1,前日安値を下回る位置から寄付き（ギャップ -1.1%）
週足,8306,三菱ＵＦＪフィナンシャル・グループ,売り,パラボリックSAR 反転 (売り),1,SARが株価の上側に移動 — トレンド転換（売り）
週足,8316,三井住友フィナンシャルグループ,売り,三羽烏（小実体群）,1,高値圏で小実体が滞留＋上値切り下げ — 買い枯渇
週足,8316,三井住友フィナンシャルグループ,売り,十字線（天井圏）,2,始値≒終値、長いヒゲ — upトレンドの転換を暗示
週足,8750,第一生命ホールディングス,売り,ボリンジャー上限反落,1,終値がBB+2σ以上から反落 — 買われすぎ反転
週足,8918,ランド,売り,宵の明星,1,大陽線→小実体→大陰線 — 弱気反転パターン
週足,9432,ＮＴＴ,売り,デッドクロス (短期/中期),1,SMA13がSMA26を下抜け
週足,9501,東京電力ホールディングス,売り,包み足（陰線）,1,前日陽線を当日陰線が完全に飲み込み — 弱気反転
週足,9984,ソフトバンクグループ,売り,終値がSMA短期を下抜け,1,終値がSMA13を上から下へ突破
月足,3103,ユニチカ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,3103,ユニチカ,買い,出来高急増（陽線）,2,出来高が20日平均の6.0倍（陽線）— 買い集め
月足,3350,メタプラネット,買い,騰落率オーバーシュート (下方),1,5日MA乖離率 -19.7% — 売られすぎ（反発注意）
月足,3697,ＳＨＩＦＴ,買い,騰落率オーバーシュート (下方),6,5日MA乖離率 -22.2% — 売られすぎ（反発注意）
月足,4307,野村総合研究所,買い,騰落率オーバーシュート (下方),2,5日MA乖離率 -23.4% — 売られすぎ（反発注意）
月足,4506,住友ファーマ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,4564,オンコセラピー・サイエンス,買い,十字線（底値圏）,2,始値≒終値、長いヒゲ — downトレンドの転換を暗示
月足,4582,シンバイオ製薬,買い,終値がSMA短期を上抜け,1,終値がSMA6を下から上へ突破
月足,4582,シンバイオ製薬,買い,RSI 売られすぎ反転,1,RSI(14)が43.8へ上昇（30以下から反転）
月足,4582,シンバイオ製薬,買い,パラボリックSAR 反転 (買い),1,SARが株価の下側に移動 — トレンド転換（買い）
月足,4582,シンバイオ製薬,買い,出来高急増（陽線）,1,出来高が20日平均の8.1倍（陽線）— 買い集め
月足,4582,シンバイオ製薬,買い,リバーサル・デー（強気）,1,前日の高安を包み込み陽線引け — 外側日反転
月足,4596,窪田製薬ホールディングス,買い,ゴールデンクロス (中期/長期),1,SMA12がSMA24を上抜け
月足,4596,窪田製薬ホールディングス,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,4596,窪田製薬ホールディングス,買い,パラボリックSAR 反転 (買い),1,SARが株価の下側に移動 — トレンド転換（買い）
月足,4596,窪田製薬ホールディングス,買い,出来高急増（陽線）,2,出来高が20日平均の6.0倍（陽線）— 買い集め
月足,4597,ソレイジア・ファーマ,買い,終値がSMA短期を上抜け,1,終値がSMA6を下から上へ突破
月足,4597,ソレイジア・ファーマ,買い,明けの明星,1,大陰線→小実体→大陽線 — 劇的な強気反転
