datetime,action,symbol,price,qty,order_type,obi,cvd,micro_price,pnl,status,detail
2026-02-20T13:08:04.783501+09:00,CLOSE_SIGNAL,4582,198.0,100,limit,,,,100,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999261""}"
2026-02-20T13:08:19.532201+09:00,SELL_ENTRY,4582,197.0,100,limit,-0.6622,-593100,197.2,,FAIL,"{""Code"": 100302, ""Message"": ""売建規制対象銘柄の為、受付することができません。""}"
2026-02-20T13:08:20.334246+09:00,SELL_ENTRY,4582,197.0,100,limit,-0.6622,-632700,197.2,,FAIL,"{""Code"": 100302, ""Message"": ""売建規制対象銘柄の為、受付することができません。""}"
2026-02-20T13:08:21.848371+09:00,BUY_ENTRY,3923,757.1,100,limit,0.5000,88000,757.2,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999287""}"
2026-02-20T13:08:41.108800+09:00,CLOSE_SIGNAL,3923,757.6,100,limit,,,,50,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999321""}"
2026-02-20T13:09:03.354556+09:00,SELL_ENTRY,4005,570.3,100,limit,-0.2632,-27200,570.2,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999337""}"
2026-02-20T13:09:34.235765+09:00,CLOSE_SIGNAL,4005,570.3,100,limit,,,,0,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999370""}"
2026-02-20T13:09:47.176155+09:00,BUY_ENTRY,4582,197.0,100,limit,0.9843,24422600,197.0,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999407""}"
2026-02-20T13:09:49.014913+09:00,CLOSE_SIGNAL,4582,197.0,100,limit,,,,0,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999412""}"
2026-02-20T13:10:18.230579+09:00,BUY_ENTRY,6378,1505.0,100,limit,0.6667,191500,1504.5,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:10:18.594281+09:00,BUY_ENTRY,6378,1505.0,100,limit,0.6667,191900,1504.5,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:10:44.099718+09:00,SELL_ENTRY,4755,825.0,100,limit,-0.7500,-856500,824.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:10:52.847933+09:00,SELL_ENTRY,9501,696.2,100,limit,-0.8889,-756700,696.2,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999471""}"
2026-02-20T13:10:55.365207+09:00,CLOSE_SIGNAL,9501,696.1,100,limit,,,,10,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999476""}"
2026-02-20T13:11:04.447355+09:00,BUY_ENTRY,3103,1245.0,100,limit,0.7500,2903600,1244.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:11:04.796457+09:00,BUY_ENTRY,3103,1244.0,100,limit,0.7500,2904800,1244.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:11:05.169473+09:00,BUY_ENTRY,3103,1244.0,100,limit,0.7333,2905900,1244.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:11:05.524112+09:00,BUY_ENTRY,3103,1244.0,100,limit,0.7333,2907000,1244.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:11:17.474358+09:00,SELL_ENTRY,4005,570.2,100,limit,-0.8261,-54400,570.2,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999493""}"
